invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total,day_name,month_name,year,shift
16,WALM008,Corpus Christi,Sports and travel,93.72,6.0,2019-01-15,16:19:00,Cash,4.5,0.48,562.3199999999999,Tuesday,January,2019,Afternoon
17,WALM029,Round Rock,Health and beauty,68.93,7.0,2019-03-11,11:03:00,Credit card,4.6,0.48,482.5100000000001,Monday,March,2019,Morning
18,WALM061,Cedar Park,Sports and travel,72.61,6.0,2019-01-01,10:39:00,Credit card,6.9,0.33,435.66,Tuesday,January,2019,Morning
19,WALM053,Conroe,Food and beverages,54.67,3.0,2019-01-21,18:00:00,Credit card,8.6,0.57,164.01,Monday,January,2019,Evening
20,WALM013,Irving,Home and lifestyle,40.3,2.0,2019-03-11,15:30:00,Ewallet,4.4,0.48,80.6,Monday,March,2019,Afternoon
21,WALM044,Pharr,Electronic accessories,86.04,5.0,2019-02-25,11:24:00,Ewallet,4.8,0.48,430.2000000000001,Monday,February,2019,Morning
22,WALM088,Cleburne,Health and beauty,87.98,3.0,2019-03-05,10:40:00,Ewallet,5.1,0.33,263.94,Tuesday,March,2019,Morning
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2.0,2019-03-15,12:20:00,Credit card,4.4,0.33,66.4,Friday,March,2019,Afternoon
24,WALM067,Haltom City,Electronic accessories,34.56,5.0,2019-02-17,11:15:00,Ewallet,9.9,0.33,172.8,Sunday,February,2019,Morning
25,WALM023,Midland,Sports and travel,88.63,3.0,2019-03-02,17:36:00,Ewallet,6.0,0.48,265.89,Saturday,March,2019,Evening
26,WALM001,Houston,Home and lifestyle,52.59,8.0,2019-03-22,19:20:00,Credit card,8.5,0.36,420.72,Friday,March,2019,Evening
27,WALM072,Lancaster,Fashion accessories,33.52,1.0,2019-02-08,15:31:00,Cash,6.7,0.33,33.52,Friday,February,2019,Afternoon
28,WALM046,Temple,Fashion accessories,87.67,2.0,2019-03-10,12:17:00,Credit card,7.7,0.48,175.34,Sunday,March,2019,Afternoon
29,WALM012,Garland,Food and beverages,88.36,5.0,2019-01-25,19:48:00,Cash,9.6,0.48,441.8,Friday,January,2019,Evening
30,WALM075,San Marcos,Health and beauty,24.89,9.0,2019-03-15,15:36:00,Cash,7.4,0.33,224.01,Friday,March,2019,Afternoon
31,WALM076,Huntsville,Fashion accessories,94.13,5.0,2019-02-25,19:39:00,Credit card,4.8,0.33,470.65,Monday,February,2019,Evening
32,WALM098,Mineral Wells,Sports and travel,78.07,9.0,2019-01-28,12:43:00,Cash,4.5,0.18,702.6299999999999,Monday,January,2019,Afternoon
33,WALM021,McAllen,Sports and travel,83.78,8.0,2019-01-10,14:49:00,Cash,5.1,0.48,670.24,Thursday,January,2019,Afternoon
34,WALM096,Eagle Pass,Health and beauty,96.58,2.0,2019-03-15,10:12:00,Credit card,5.1,0.18,193.16,Friday,March,2019,Morning
35,WALM022,Mesquite,Food and beverages,99.42,4.0,2019-02-06,10:42:00,Ewallet,7.5,0.48,397.68,Wednesday,February,2019,Morning
36,WALM095,Big Spring,Sports and travel,68.12,1.0,2019-01-07,12:28:00,Ewallet,6.8,0.33,68.12,Monday,January,2019,Afternoon
37,WALM041,Mission,Sports and travel,62.62,5.0,2019-03-10,19:15:00,Ewallet,7.0,0.48,313.1,Sunday,March,2019,Evening
38,WALM070,Hurst,Electronic accessories,60.88,9.0,2019-01-15,17:17:00,Ewallet,4.7,0.33,547.9200000000001,Tuesday,January,2019,Evening
39,WALM070,Hurst,Health and beauty,54.92,8.0,2019-03-23,13:24:00,Ewallet,7.6,0.33,439.36,Saturday,March,2019,Afternoon
40,WALM030,Richardson,Home and lifestyle,30.12,8.0,2019-03-03,13:01:00,Cash,7.7,0.48,240.96,Sunday,March,2019,Afternoon
41,WALM033,Pearland,Home and lifestyle,86.72,1.0,2019-01-17,18:45:00,Ewallet,7.9,0.48,86.72,Thursday,January,2019,Evening
42,WALM088,Cleburne,Home and lifestyle,56.11,2.0,2019-02-02,10:11:00,Cash,6.3,0.33,112.22,Saturday,February,2019,Morning
43,WALM079,La Porte,Sports and travel,69.12,6.0,2019-02-08,13:03:00,Cash,5.6,0.33,414.72,Friday,February,2019,Afternoon
44,WALM042,Bryan,Food and beverages,98.7,8.0,2019-03-04,20:39:00,Cash,7.6,0.48,789.6,Monday,March,2019,Evening
45,WALM036,Allen,Health and beauty,15.37,2.0,2019-03-16,19:47:00,Cash,7.2,0.48,30.74,Saturday,March,2019,Evening
46,WALM056,Rowlett,Electronic accessories,93.96,4.0,2019-03-09,18:00:00,Cash,9.5,0.33,375.84,Saturday,March,2019,Evening
47,WALM058,Port Arthur,Health and beauty,56.69,9.0,2019-02-27,17:24:00,Credit card,8.4,0.33,510.21,Wednesday,February,2019,Evening
48,WALM015,Grand Prairie,Food and beverages,20.01,9.0,2019-02-06,15:47:00,Ewallet,4.1,0.48,180.09,Wednesday,February,2019,Afternoon
49,WALM063,Georgetown,Electronic accessories,18.93,6.0,2019-02-10,12:45:00,Credit card,8.1,0.33,113.58,Sunday,February,2019,Afternoon
50,WALM021,McAllen,Fashion accessories,82.63,10.0,2019-03-19,17:08:00,Ewallet,7.9,0.48,826.3,Tuesday,March,2019,Evening
51,WALM089,Southlake,Food and beverages,91.4,7.0,2019-02-03,10:19:00,Cash,9.5,0.33,639.8000000000001,Sunday,February,2019,Morning
52,WALM093,Angleton,Food and beverages,44.59,5.0,2019-02-10,15:10:00,Cash,8.5,0.33,222.95,Sunday,February,2019,Afternoon
53,WALM041,Mission,Fashion accessories,17.87,4.0,2019-03-22,14:42:00,Ewallet,6.5,0.48,71.48,Friday,March,2019,Afternoon
54,WALM045,Missouri City,Fashion accessories,15.43,1.0,2019-01-25,15:46:00,Credit card,6.1,0.48,15.43,Friday,January,2019,Afternoon
55,WALM005,Fort Worth,Home and lifestyle,16.16,2.0,2019-03-07,11:49:00,Ewallet,6.5,0.48,32.32,Thursday,March,2019,Morning
56,WALM042,Bryan,Electronic accessories,85.98,8.0,2019-02-28,19:01:00,Cash,8.2,0.48,687.84,Thursday,February,2019,Evening
57,WALM003,San Antonio,Home and lifestyle,44.34,2.0,2019-03-27,11:26:00,Cash,5.8,0.36,88.68,Wednesday,March,2019,Morning
58,WALM070,Hurst,Health and beauty,89.6,8.0,2019-02-07,11:28:00,Ewallet,6.6,0.33,716.8,Thursday,February,2019,Morning
59,WALM066,Grapevine,Home and lifestyle,72.35,10.0,2019-01-20,15:55:00,Cash,5.4,0.33,723.5,Sunday,January,2019,Afternoon
60,WALM031,Lewisville,Electronic accessories,30.61,6.0,2019-03-12,20:36:00,Cash,9.3,0.48,183.66,Tuesday,March,2019,Evening
61,WALM042,Bryan,Sports and travel,24.74,3.0,2019-02-15,17:47:00,Credit card,10.0,0.48,74.22,Friday,February,2019,Evening
62,WALM078,Del Rio,Home and lifestyle,55.73,6.0,2019-02-24,10:55:00,Ewallet,7.0,0.33,334.38,Sunday,February,2019,Morning
63,WALM037,League City,Sports and travel,55.07,9.0,2019-02-03,13:40:00,Ewallet,10.0,0.48,495.63,Sunday,February,2019,Afternoon
64,WALM069,Rockwall,Sports and travel,15.81,10.0,2019-03-06,12:27:00,Credit card,8.6,0.33,158.1,Wednesday,March,2019,Afternoon
65,WALM087,Waxahachie,Health and beauty,75.74,4.0,2019-02-14,14:35:00,Cash,7.6,0.33,302.96,Thursday,February,2019,Afternoon
66,WALM042,Bryan,Health and beauty,15.87,10.0,2019-03-13,16:40:00,Cash,5.8,0.48,158.7,Wednesday,March,2019,Afternoon
67,WALM020,Killeen,Health and beauty,33.47,2.0,2019-02-10,15:43:00,Ewallet,6.7,0.48,66.94,Sunday,February,2019,Afternoon
68,WALM029,Round Rock,Fashion accessories,97.61,6.0,2019-01-07,15:01:00,Ewallet,9.9,0.48,585.66,Monday,January,2019,Afternoon
69,WALM079,La Porte,Sports and travel,78.77,10.0,2019-01-24,10:04:00,Cash,6.4,0.33,787.6999999999999,Thursday,January,2019,Morning
70,WALM035,San Angelo,Health and beauty,18.33,1.0,2019-02-02,18:50:00,Cash,4.3,0.48,18.33,Saturday,February,2019,Evening
71,WALM007,Arlington,Food and beverages,89.48,10.0,2019-01-06,12:46:00,Credit card,9.6,0.48,894.8000000000001,Sunday,January,2019,Afternoon
72,WALM017,McKinney,Fashion accessories,62.12,10.0,2019-02-11,16:19:00,Cash,5.9,0.48,621.1999999999999,Monday,February,2019,Afternoon
73,WALM096,Eagle Pass,Food and beverages,48.52,3.0,2019-03-05,18:17:00,Ewallet,4.0,0.18,145.56,Tuesday,March,2019,Evening
74,WALM083,Farmers Branch,Electronic accessories,75.91,6.0,2019-03-09,18:21:00,Cash,8.7,0.33,455.46,Saturday,March,2019,Evening
75,WALM072,Lancaster,Home and lifestyle,74.67,9.0,2019-01-22,10:55:00,Ewallet,9.4,0.33,672.03,Tuesday,January,2019,Morning
76,WALM003,San Antonio,Electronic accessories,41.65,10.0,2019-01-13,17:04:00,Credit card,5.4,0.48,416.5,Sunday,January,2019,Evening
77,WALM058,Port Arthur,Fashion accessories,49.04,9.0,2019-01-09,14:20:00,Credit card,8.6,0.33,441.36,Wednesday,January,2019,Afternoon
78,WALM094,Alamo,Fashion accessories,20.01,9.0,2019-01-12,15:48:00,Credit card,5.7,0.33,180.09,Saturday,January,2019,Afternoon
79,WALM063,Georgetown,Food and beverages,78.31,10.0,2019-03-05,16:24:00,Ewallet,6.6,0.33,783.1,Tuesday,March,2019,Afternoon
80,WALM071,Lufkin,Health and beauty,20.38,5.0,2019-01-22,18:56:00,Cash,6.0,0.33,101.9,Tuesday,January,2019,Evening
81,WALM061,Cedar Park,Health and beauty,99.19,6.0,2019-01-21,14:42:00,Credit card,5.5,0.33,595.14,Monday,January,2019,Afternoon
82,WALM090,Brownwood,Food and beverages,96.68,3.0,2019-01-26,19:56:00,Ewallet,6.4,0.33,290.04,Saturday,January,2019,Evening
83,WALM061,Cedar Park,Food and beverages,19.25,8.0,2019-01-23,18:37:00,Ewallet,6.6,0.33,154.0,Wednesday,January,2019,Evening
84,WALM041,Mission,Food and beverages,80.36,4.0,2019-02-23,18:45:00,Ewallet,8.3,0.48,321.44,Saturday,February,2019,Evening
85,WALM097,Alice,Sports and travel,48.91,5.0,2019-03-09,10:17:00,Cash,6.6,0.18,244.55,Saturday,March,2019,Morning
86,WALM043,Baytown,Sports and travel,83.06,7.0,2019-03-05,14:31:00,Ewallet,4.0,0.48,581.4200000000001,Tuesday,March,2019,Afternoon
87,WALM042,Bryan,Fashion accessories,76.52,5.0,2019-03-25,10:23:00,Cash,9.9,0.48,382.6,Monday,March,2019,Morning
88,WALM046,Temple,Food and beverages,49.38,7.0,2019-03-27,20:35:00,Credit card,7.3,0.48,345.66,Wednesday,March,2019,Evening
89,WALM011,Lubbock,Sports and travel,42.47,1.0,2019-01-02,16:57:00,Cash,5.7,0.48,42.47,Wednesday,January,2019,Afternoon
90,WALM064,Bedford,Health and beauty,76.99,6.0,2019-02-27,17:55:00,Cash,6.1,0.33,461.94,Wednesday,February,2019,Evening
91,WALM095,Big Spring,Home and lifestyle,47.38,4.0,2019-01-23,10:25:00,Cash,7.1,0.33,189.52,Wednesday,January,2019,Morning
92,WALM049,North Richland Hills,Sports and travel,44.86,10.0,2019-01-26,19:54:00,Ewallet,8.2,0.48,448.6,Saturday,January,2019,Evening
93,WALM040,Edinburg,Sports and travel,21.98,7.0,2019-01-10,16:42:00,Ewallet,5.1,0.48,153.86,Thursday,January,2019,Afternoon
94,WALM065,Texas City,Health and beauty,64.36,9.0,2019-03-12,12:09:00,Credit card,8.6,0.33,579.24,Tuesday,March,2019,Afternoon
95,WALM075,San Marcos,Health and beauty,89.75,1.0,2019-02-06,20:05:00,Credit card,6.6,0.33,89.75,Wednesday,February,2019,Evening
96,WALM034,College Station,Electronic accessories,97.16,1.0,2019-03-08,20:38:00,Ewallet,7.2,0.48,97.16,Friday,March,2019,Evening
97,WALM014,Amarillo,Health and beauty,87.87,10.0,2019-03-29,10:25:00,Ewallet,5.1,0.48,878.7,Friday,March,2019,Morning
98,WALM096,Eagle Pass,Electronic accessories,12.45,6.0,2019-02-09,13:11:00,Cash,4.1,0.18,74.69999999999999,Saturday,February,2019,Afternoon
99,WALM004,Austin,Food and beverages,52.75,3.0,2019-03-23,10:16:00,Ewallet,9.3,0.48,158.25,Saturday,March,2019,Morning
100,WALM011,Lubbock,Home and lifestyle,82.7,6.0,2019-03-05,18:14:00,Cash,7.4,0.48,496.2000000000001,Tuesday,March,2019,Evening
101,WALM075,San Marcos,Fashion accessories,48.71,1.0,2019-03-26,19:20:00,Cash,4.1,0.33,48.71,Tuesday,March,2019,Evening
102,WALM057,Euless,Fashion accessories,78.55,9.0,2019-03-01,13:22:00,Cash,7.2,0.33,706.9499999999999,Friday,March,2019,Afternoon
103,WALM023,Midland,Electronic accessories,23.07,9.0,2019-02-01,11:27:00,Cash,4.9,0.48,207.63,Friday,February,2019,Morning
104,WALM012,Garland,Food and beverages,58.26,6.0,2019-03-28,16:44:00,Cash,9.9,0.48,349.56,Thursday,March,2019,Afternoon
105,WALM078,Del Rio,Health and beauty,30.35,7.0,2019-03-19,18:19:00,Cash,8.0,0.33,212.45,Tuesday,March,2019,Evening
106,WALM055,Waxahachie,Electronic accessories,88.67,10.0,2019-01-12,14:50:00,Ewallet,7.3,0.33,886.7,Saturday,January,2019,Afternoon
107,WALM038,Sugar Land,Fashion accessories,27.38,6.0,2019-01-05,20:54:00,Credit card,7.9,0.48,164.28,Saturday,January,2019,Evening
108,WALM049,North Richland Hills,Sports and travel,62.13,6.0,2019-03-22,20:19:00,Cash,7.4,0.48,372.78,Friday,March,2019,Evening
109,WALM044,Pharr,Food and beverages,33.98,9.0,2019-03-24,10:43:00,Cash,4.2,0.48,305.82,Sunday,March,2019,Morning
110,WALM056,Rowlett,Electronic accessories,81.97,10.0,2019-03-03,14:30:00,Cash,9.2,0.33,819.7,Sunday,March,2019,Afternoon
111,WALM007,Arlington,Sports and travel,16.49,2.0,2019-02-05,11:32:00,Ewallet,4.6,0.48,32.98,Tuesday,February,2019,Morning
112,WALM025,Waco,Health and beauty,98.21,3.0,2019-02-05,10:41:00,Credit card,7.8,0.48,294.63,Tuesday,February,2019,Morning
113,WALM005,Fort Worth,Fashion accessories,72.84,7.0,2019-02-15,12:44:00,Cash,8.4,0.48,509.88,Friday,February,2019,Afternoon
114,WALM024,Carrollton,Home and lifestyle,58.07,9.0,2019-01-19,20:07:00,Ewallet,4.3,0.48,522.63,Saturday,January,2019,Evening
115,WALM003,San Antonio,Home and lifestyle,80.79,9.0,2019-02-01,20:31:00,Credit card,9.5,0.36,727.11,Friday,February,2019,Evening
116,WALM087,Waxahachie,Fashion accessories,27.02,3.0,2019-03-02,13:01:00,Credit card,7.1,0.33,81.06,Saturday,March,2019,Afternoon
117,WALM040,Edinburg,Fashion accessories,21.94,5.0,2019-03-05,12:29:00,Ewallet,5.3,0.48,109.7,Tuesday,March,2019,Afternoon
118,WALM071,Lufkin,Fashion accessories,51.36,1.0,2019-01-16,15:26:00,Ewallet,5.2,0.33,51.36,Wednesday,January,2019,Afternoon
119,WALM027,Abilene,Food and beverages,10.96,10.0,2019-02-02,20:48:00,Ewallet,6.0,0.48,109.6,Saturday,February,2019,Evening
120,WALM071,Lufkin,Home and lifestyle,53.44,2.0,2019-01-20,20:38:00,Ewallet,4.1,0.33,106.88,Sunday,January,2019,Evening
121,WALM014,Amarillo,Electronic accessories,99.56,8.0,2019-02-14,17:03:00,Credit card,5.2,0.48,796.48,Thursday,February,2019,Evening
122,WALM069,Rockwall,Sports and travel,57.12,7.0,2019-01-12,12:02:00,Credit card,6.5,0.33,399.84,Saturday,January,2019,Afternoon
123,WALM085,Kerrville,Sports and travel,99.96,9.0,2019-03-09,17:26:00,Credit card,4.2,0.33,899.64,Saturday,March,2019,Evening
124,WALM061,Cedar Park,Home and lifestyle,63.91,8.0,2019-03-13,19:52:00,Credit card,4.6,0.33,511.28,Wednesday,March,2019,Evening
125,WALM088,Cleburne,Fashion accessories,56.47,8.0,2019-03-09,14:57:00,Ewallet,7.3,0.33,451.76,Saturday,March,2019,Afternoon
126,WALM034,College Station,Home and lifestyle,93.69,7.0,2019-03-10,18:44:00,Credit card,4.5,0.48,655.8299999999999,Sunday,March,2019,Evening
127,WALM016,Brownsville,Sports and travel,32.25,5.0,2019-01-27,13:26:00,Cash,9.0,0.48,161.25,Sunday,January,2019,Afternoon
128,WALM044,Pharr,Fashion accessories,31.73,9.0,2019-01-08,16:17:00,Credit card,5.9,0.48,285.57,Tuesday,January,2019,Afternoon
129,WALM035,San Angelo,Food and beverages,68.54,8.0,2019-01-08,15:57:00,Ewallet,8.5,0.48,548.32,Tuesday,January,2019,Afternoon
130,WALM018,Frisco,Sports and travel,90.28,9.0,2019-02-08,11:15:00,Ewallet,7.2,0.48,812.52,Friday,February,2019,Morning
131,WALM022,Mesquite,Fashion accessories,39.62,7.0,2019-01-25,13:18:00,Cash,7.5,0.48,277.34,Friday,January,2019,Afternoon
132,WALM068,Burleson,Sports and travel,92.13,6.0,2019-03-06,20:34:00,Cash,8.3,0.33,552.78,Wednesday,March,2019,Evening
133,WALM055,Waxahachie,Sports and travel,34.84,4.0,2019-02-10,18:36:00,Cash,7.4,0.33,139.36,Sunday,February,2019,Evening
134,WALM002,Dallas,Electronic accessories,87.45,6.0,2019-02-17,14:40:00,Credit card,8.8,0.36,524.7,Sunday,February,2019,Afternoon
135,WALM062,Galveston,Health and beauty,81.3,6.0,2019-03-08,16:43:00,Ewallet,5.3,0.33,487.8,Friday,March,2019,Afternoon
136,WALM098,Mineral Wells,Fashion accessories,90.22,3.0,2019-02-18,19:39:00,Cash,6.2,0.18,270.66,Monday,February,2019,Evening
137,WALM027,Abilene,Electronic accessories,26.31,5.0,2019-01-18,20:59:00,Credit card,8.8,0.48,131.54999999999998,Friday,January,2019,Evening
138,WALM093,Angleton,Home and lifestyle,34.42,6.0,2019-02-18,15:39:00,Cash,9.8,0.33,206.52,Monday,February,2019,Afternoon
139,WALM029,Round Rock,Sports and travel,51.91,10.0,2019-02-16,12:21:00,Cash,8.2,0.48,519.0999999999999,Saturday,February,2019,Afternoon
140,WALM016,Brownsville,Sports and travel,72.5,8.0,2019-03-16,19:25:00,Ewallet,9.2,0.48,580.0,Saturday,March,2019,Evening
141,WALM023,Midland,Sports and travel,89.8,10.0,2019-01-23,13:00:00,Credit card,5.4,0.48,898.0,Wednesday,January,2019,Afternoon
142,WALM012,Garland,Health and beauty,90.5,10.0,2019-01-25,13:48:00,Cash,8.1,0.48,905.0,Friday,January,2019,Afternoon
143,WALM052,Mansfield,Health and beauty,68.6,10.0,2019-02-05,19:57:00,Cash,9.1,0.57,686.0,Tuesday,February,2019,Evening
144,WALM097,Alice,Food and beverages,30.41,1.0,2019-02-22,10:36:00,Credit card,8.4,0.18,30.41,Friday,February,2019,Morning
145,WALM045,Missouri City,Home and lifestyle,77.95,6.0,2019-01-21,16:37:00,Credit card,8.0,0.48,467.7000000000001,Monday,January,2019,Afternoon
146,WALM047,Flower Mound,Health and beauty,46.26,6.0,2019-03-08,17:11:00,Credit card,9.5,0.48,277.56,Friday,March,2019,Evening
147,WALM026,Denton,Fashion accessories,30.14,10.0,2019-02-10,12:28:00,Ewallet,9.2,0.48,301.4,Sunday,February,2019,Afternoon
148,WALM054,Sherman,Health and beauty,66.14,4.0,2019-03-19,12:46:00,Credit card,5.6,0.21,264.56,Tuesday,March,2019,Afternoon
149,WALM049,North Richland Hills,Home and lifestyle,71.86,8.0,2019-03-06,15:07:00,Credit card,6.2,0.48,574.88,Wednesday,March,2019,Afternoon
150,WALM065,Texas City,Health and beauty,32.46,8.0,2019-03-27,13:48:00,Credit card,4.9,0.33,259.68,Wednesday,March,2019,Afternoon
151,WALM016,Brownsville,Fashion accessories,91.54,4.0,2019-03-23,19:20:00,Credit card,4.8,0.48,366.16,Saturday,March,2019,Evening
152,WALM070,Hurst,Sports and travel,34.56,7.0,2019-03-11,16:07:00,Credit card,7.3,0.33,241.92,Monday,March,2019,Afternoon
153,WALM099,Weatherford,Fashion accessories,83.24,9.0,2019-01-29,11:56:00,Credit card,7.4,0.18,749.16,Tuesday,January,2019,Morning
154,WALM071,Lufkin,Food and beverages,16.48,6.0,2019-02-07,18:23:00,Ewallet,9.9,0.33,98.88,Thursday,February,2019,Evening
155,WALM078,Del Rio,Sports and travel,80.97,8.0,2019-01-28,13:05:00,Cash,9.3,0.33,647.76,Monday,January,2019,Afternoon
156,WALM074,Weslaco,Food and beverages,92.29,5.0,2019-02-20,15:55:00,Cash,9.0,0.33,461.4500000000001,Wednesday,February,2019,Afternoon
157,WALM042,Bryan,Electronic accessories,72.17,1.0,2019-01-04,19:40:00,Cash,6.1,0.48,72.17,Friday,January,2019,Evening
158,WALM013,Irving,Home and lifestyle,50.28,5.0,2019-03-07,13:58:00,Ewallet,9.7,0.48,251.4,Thursday,March,2019,Afternoon
159,WALM100,Canyon,Health and beauty,97.22,9.0,2019-03-30,14:43:00,Ewallet,6.0,0.18,874.98,Saturday,March,2019,Afternoon
160,WALM094,Alamo,Sports and travel,93.39,6.0,2019-03-27,19:18:00,Ewallet,10.0,0.33,560.34,Wednesday,March,2019,Evening
161,WALM028,Odessa,Food and beverages,43.18,8.0,2019-01-19,19:39:00,Credit card,8.3,0.48,345.44,Saturday,January,2019,Evening
162,WALM019,Pasadena,Sports and travel,63.69,1.0,2019-02-25,16:21:00,Cash,6.0,0.48,63.69,Monday,February,2019,Afternoon
163,WALM011,Lubbock,Food and beverages,45.79,7.0,2019-03-13,19:44:00,Credit card,7.0,0.48,320.53,Wednesday,March,2019,Evening
164,WALM084,Schertz,Sports and travel,76.4,2.0,2019-01-30,19:42:00,Ewallet,6.5,0.33,152.8,Wednesday,January,2019,Evening
165,WALM057,Euless,Food and beverages,39.9,10.0,2019-02-20,15:24:00,Credit card,5.9,0.33,399.0,Wednesday,February,2019,Afternoon
166,WALM088,Cleburne,Health and beauty,42.57,8.0,2019-02-25,14:12:00,Ewallet,5.6,0.33,340.56,Monday,February,2019,Afternoon
167,WALM061,Cedar Park,Home and lifestyle,95.58,10.0,2019-01-16,13:32:00,Cash,4.8,0.33,955.8,Wednesday,January,2019,Afternoon
168,WALM040,Edinburg,Fashion accessories,98.98,10.0,2019-02-08,16:20:00,Credit card,8.7,0.48,989.8,Friday,February,2019,Afternoon
169,WALM069,Rockwall,Food and beverages,51.28,6.0,2019-01-19,16:31:00,Cash,6.5,0.33,307.68,Saturday,January,2019,Afternoon
170,WALM089,Southlake,Sports and travel,69.52,7.0,2019-02-01,15:10:00,Credit card,8.5,0.33,486.64,Friday,February,2019,Afternoon
171,WALM031,Lewisville,Health and beauty,70.01,5.0,2019-01-03,11:36:00,Ewallet,5.5,0.48,350.05,Thursday,January,2019,Morning
172,WALM039,Longview,Food and beverages,80.05,5.0,2019-01-26,12:45:00,Credit card,9.4,0.48,400.25,Saturday,January,2019,Afternoon
173,WALM039,Longview,Electronic accessories,20.85,8.0,2019-03-03,19:17:00,Cash,6.3,0.48,166.8,Sunday,March,2019,Evening
174,WALM047,Flower Mound,Electronic accessories,52.89,6.0,2019-01-19,17:34:00,Credit card,9.8,0.48,317.34000000000003,Saturday,January,2019,Evening
175,WALM071,Lufkin,Food and beverages,19.79,8.0,2019-01-18,12:04:00,Ewallet,8.7,0.33,158.32,Friday,January,2019,Afternoon
176,WALM060,DeSoto,Home and lifestyle,33.84,9.0,2019-03-21,16:21:00,Ewallet,8.8,0.33,304.56000000000006,Thursday,March,2019,Afternoon
177,WALM073,Seguin,Food and beverages,22.17,8.0,2019-03-03,17:01:00,Credit card,9.6,0.33,177.36,Sunday,March,2019,Evening
178,WALM059,Pflugerville,Fashion accessories,22.51,7.0,2019-02-13,10:50:00,Credit card,4.8,0.33,157.57000000000002,Wednesday,February,2019,Morning
179,WALM012,Garland,Food and beverages,73.88,6.0,2019-03-23,19:16:00,Ewallet,4.4,0.48,443.28,Saturday,March,2019,Evening
180,WALM086,Rosenberg,Health and beauty,86.8,3.0,2019-01-28,16:47:00,Ewallet,9.9,0.33,260.4,Monday,January,2019,Afternoon
181,WALM073,Seguin,Fashion accessories,64.26,7.0,2019-02-09,10:00:00,Cash,5.7,0.33,449.8200000000001,Saturday,February,2019,Morning
182,WALM028,Odessa,Food and beverages,38.47,8.0,2019-01-23,11:51:00,Cash,7.7,0.48,307.76,Wednesday,January,2019,Morning
183,WALM053,Conroe,Sports and travel,15.5,10.0,2019-03-23,10:55:00,Ewallet,8.0,0.57,155.0,Saturday,March,2019,Morning
184,WALM024,Carrollton,Health and beauty,34.31,8.0,2019-01-25,15:00:00,Ewallet,5.7,0.48,274.48,Friday,January,2019,Afternoon
185,WALM097,Alice,Sports and travel,12.34,7.0,2019-03-04,11:19:00,Credit card,6.7,0.18,86.38,Monday,March,2019,Morning
186,WALM072,Lancaster,Food and beverages,18.08,3.0,2019-03-05,19:46:00,Ewallet,8.0,0.33,54.24,Tuesday,March,2019,Evening
187,WALM023,Midland,Home and lifestyle,94.49,8.0,2019-03-03,19:00:00,Ewallet,7.5,0.48,755.92,Sunday,March,2019,Evening
188,WALM038,Sugar Land,Home and lifestyle,46.47,4.0,2019-02-08,10:53:00,Cash,7.0,0.48,185.88,Friday,February,2019,Morning
